code,name,issue,suggestion
300121,阳谷华泰,锂电池/电解液 vs 橡胶助剂主业，转型型,人工复核业务落地情况
002004,华邦健康,锂电池/电解液 vs 医药主业（控股凯盛新材·氯化亚砜，参股型）,人工复核业务落地情况
000060,中金岭南,算力金属/钨|锑|锗 vs 主营铅锌+锗，钨/锑依据不足,人工复核，报告倾向精简为「锗」
600301,华锡有色,算力金属/锑|锡|镓 vs 锡锑属实、镓待证,人工复核，报告倾向「锑|锡」
000426,兴业银锡,算力金属/铜|锡 vs 银+锡为主（银无此桶）,人工复核，可维持或改「锡」
300631,久吾高科,锂电池/锂矿资源 vs 提锂技术服务商（无自有锂矿）,人工复核：增设「盐湖提锂技术与材料」桶或并入「其他关键材料及设备」
688718,唯赛勃,锂电池/锂矿资源 vs 提锂材料服务商（无自有锂矿）,人工复核：同上桶位调整
300487,蓝晓科技,锂电池/锂矿资源 vs 提锂材料服务商（无自有锂矿）,人工复核：同上桶位调整
301092,争光股份,锂电池/锂矿资源 vs 提锂材料服务商（无自有锂矿）,人工复核：同上桶位调整
600160,巨化股份,锂电池/正极材料 vs PVDF 属正极粘结剂辅材,人工复核，报告建议归「其他关键材料及设备」
300343,联创股份,锂电池/正极材料 vs PVDF 属正极粘结剂辅材,人工复核，报告建议归「其他关键材料及设备」
688507,索辰科技,机器人/传感器 vs CAE仿真软件（机器人设计仿真软件）,人工复核：改「本体及应用」或「其他」注明仿真软件
002927,泰永长征,HVDC/固态变压器SST 弱匹配：SST仍在方案论证阶段,标签可留，人工复核时注明「SST在研」
600480,凌云股份,机器人/传感器 弱匹配：六维力传感器处研发阶段，汽车管路为主业,标签可留，人工复核标注弱关联
002706,良信股份,HVDC/高压直流电源HVDC 弱匹配：低压电器商，仅部件级配套,标签可留，人工复核确认可接受
300750,宁德时代,concept=太空光伏组件，主业动力电池，太空光伏组件证据薄弱,复核是否应保留在太空光伏组
002329,皇氏集团,concept=太空光伏组件，食品主业，地面光伏尚属跨界，太空属性更弱,复核是否保留
688611,杭州柯林,concept=太空光伏组件，sector=电网设备，与组件不符,复核是否保留
605598,上海港湾,concept=太空光伏组件，土木工程主业,复核是否保留
002565,顺灏股份,concept=太阳翼结构，造纸主业,复核是否保留
301528,多浦乐,concept=太阳翼结构，无损检测设备主业，至多算配套,复核是否保留
301071,力量钻石,concept=spacex-供应商，培育钻石主业，SpaceX供应链证据弱,复核标签
600761,安徽合力,concept=spacex-供应商，叉车主业,复核标签
603211,晋拓股份,concept=spacex-参股-微波放大器-基站放大器，汽车压铸件主业，参股SpaceX高度可疑,重点复核
600477,杭萧钢构,concept=太空光伏组件，钢结构/BIPV，太空属性不足（弱关联）,复核是否保留
002202,金风科技,concept=火箭，风电主业，仅参股蓝箭航天（弱关联）,concept可改为「参股蓝箭|火箭」明示逻辑，待拍板
603025,大豪科技,concept=电子布，主营缝制/针织设备电控系统，疑似错配,核实是否有电子布业务，否则移出
688090,瑞松科技,concept=设备，主营机器人焊接自动化产线，疑似错配,核实是否有光通信设备业务，否则移出
002725,跃岭股份,concept=光芯片，主营铝合金轮毂，仅参股中科光芯（边缘）,保留则concept改为「光芯片(参股)」
001359,平安电工,concept=电子布，主营云母绝缘材料,核实是否有电子级玻纤布产能
301678,新恒汇,concept=曝光，主营柔性引线框架/智能卡载带,核实曝光设备/工艺关联，否则改标
688003,天准科技,concept=曝光|贴片|钻孔，主营机器视觉检测设备，concept不精准,建议改为「检测」，待拍板
600183,生益科技,concept=硅微粉|覆铜板，覆铜板龙头，硅微粉标签存疑,建议简化为「覆铜板」，待拍板
002636,金安国纪,concept=电子布|覆铜板，主营覆铜板，电子布标签存疑,核实上游玻纤布产能，否则简化
300283,温州宏丰,concept=钻针，主营电接触材料/硬质合金，标签不精准,建议改为「钻针材料(硬质合金)」，待拍板
600885,宏发股份,concept=AIDC相关，主营继电器，仅靠数据中心电源用继电器间接关联（弱匹配）,建议concept细化或降权
002733,雄韬股份,concept=SOFC，仅中标中广核SOFC测试服务，非核心技术链条（边缘成立）,保留，可标注「测试服务/边缘」
920665,科强股份,特种橡胶主业，商业航天关联弱（原'北交所'桶）,确认是否有航天业务，无则保持无标签
300250,初灵信息,AI应用/'其他'桶未消化,人工定具体AI场景
300479,神思电子,AI应用/'其他'桶未消化,人工定具体AI场景
300812,易天股份,AI应用/'其他'桶未消化,人工定具体AI场景
300839,博汇股份,液冷/'其他'桶未消化,人工定液冷具体环节
